Nombre,Año de nacimiento,Óscar,Famoso por,Profesión
Marla Eaton,Desconocido,No tiene galardones ni nominaciones,"['Vice Squad: NYC', 'The Mexican', 'Martina Celeste BetrugerMartina Celeste Betruger (2019)']","Reparto, Guion, Casting"
William Briggs,Desconocido,Nominado,"['Moving Flowers', 'Replicant Terminus: Revelation', 'Show, Girl!', 'Silk']","Reparto, Guion, Edición"
Karen E. Thomas,Desconocido,No tiene galardones ni nominaciones,"['Ghosters Phantom Patrol', 'Rage of the Mummy', 'Silk']","Reparto, Maquillaje, Guion"
Sonja Cimone,Desconocido,Nominado,['Sin datos'],Sin datos
Anubis Heru,Desconocido,Nominado,['Sin datos'],Sin datos
Jason Thomas,1987,Nominado,"['Hellraiser', 'Godzilla: Rey de los monstruos', 'Proyecto Rampage', 'Death Note']","Reparto, Equipos adicionales"
John Dembiczak,Desconocido,Nominado,"['The Mumbler', 'Killer Witches from Outer Space', 'Replicant Terminus', 'The Party Member']",Reparto
Daustin Harvey,Desconocido,No tiene galardones ni nominaciones,"['A Girl Like Me', 'Producción(as Dustin Harvey)', 'Dirección de producción(as Dustin Harvey)', '2022']","Reparto, Producción, Equipos adicionales"
,1928,Ganó 4 premios Primetime Emmy,"['Los Soprano', '1999–2001 • 22 episodios', '1995', '1988', 'Mrs. Pynchon']",Reparto
Indrasena,1977,No tiene galardones ni nominaciones,"['Putrudu', '7,7', 'Composición', 'Raju']","Reparto, Composición, Producción"
Sameerdatta,1992,No tiene galardones ni nominaciones,"['Gully Gang', '2 Friends', 'Super Sketch', 'Rangu']","Reparto, Producción"
Shubhangi Pant,1994,No tiene galardones ni nominaciones,"['Clue', 'Maro Prasthanam', 'Raave Naa Cheliya', 'Super Sketch']",Reparto
Sophiya Singh,Desconocido,No tiene galardones ni nominaciones,"['Super Sketch', 'Oorantha Anukuntunnaru', 'Bepanah Pyarr', '2019 • 1 episodio', '2020']",Reparto
Karthik Reddy,Desconocido,Nominado,"['Adda', 'Voter', 'Kurzal 388']","Guion, Dirección"
Chkri Maganti,Desconocido,No tiene galardones ni nominaciones,['Super Sketch'],Reparto
Gary Tantony,Desconocido,No tiene galardones ni nominaciones,"['Dunki', 'Tere Naam', 'Lava Kusa: The Warrior Twins', 'Saheb Biwi Aur Gangster 3']","Reparto, Equipos adicionales"
Muktevi Prakasarao,Desconocido,Nominado,"['Gully Gang', 'Super Sketch', 'Rangu', 'Ammaye Navvithe']","Reparto, Producción"
Ricardo Cardoso,Desconocido,Nominado,"['The Creator', 'The Marvels', 'ABBA Voyage', '2022']",Efectos visuales
Marc Diaz,Desconocido,Nominado,"[""Mai oblidis que t'estimo""]",Guion y continuidad
Alberto Leon,Desconocido,Nominado,"['Indigo Grey: The Passage', '2014', 'Sonido', 'Corto', '4,2']","Sonido, Composición, Efectos especiales"
Gloria Miquel,Desconocido,Nominado,['Sin vuelta atrás'],"Reparto, Guion"
Marta Ranz,Desconocido,Nominado,['Sin vuelta atrás'],Reparto
