ID,Nombre,Tipo,Director,Guionista1,Guionista2,Duración,Puntuación,Argumento
tt0177220,Shulie,Short,Elisabeth Subrin,No especificado,No especificado,No especificado,No especificado,No especificado
tt0297400,Snowblind,Movie,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt0337926,Chatô: O Rei do Brasil,Movie,Guilherme Fontes,João Emanuel Carneiro,Guilherme Fontes,1h 42min,5.9,"La historia de Assis Chateaubriand, el primer magnate de la comunicación de Brasil. Debido a su influencia desde finales de la década de 1930 hasta principios de la de 1960, se le ha llamado El ciudadano brasileño Kane."
tt0346045,Transeúntes,Movie,Luis Aller,Luis Aller,No especificado,1h 34min,6.7,"Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Leer todo"
tt0420293,The Stanford Prison Experiment,Movie,Kyle Patrick Alvarez,Tim Talbott,Philip Zimbardo,2h 2min,6.8,"En 1971, veinticuatro estudiantes masculinos son seleccionados para asumir papeles de prisioneros y guardias asignados al azar en una prisión de prueba situada en el sótano del edificio de psicología de Stanford."
tt0462335,High-Rise,Movie,Ben Wheatley,Amy Jump,No especificado,1h 59min,5.5,Las vidas de los vecinos de un edificio se salen de control.
tt0787524,The Man Who Knew Infinity,Movie,Matt Brown,Robert Kanigel,Matt Brown,1h 48min,7.2,"La historia y vida del genio matemático indio Srinivasa Ramanujan y su amistad con su mentor, el profesor G.H. Hardy."
tt0790770,Miles Ahead,Movie,Don Cheadle,Steven Baigelman,Don Cheadle,1h 40min,6.4,Una exploración de la vida y obra del músico Miles Davis.
tt0810819,The Danish Girl,Movie,Tom Hooper,Lucinda Coxon,David Ebershoff,1h 59min,7.1,Historia de amor ficticia inspirada en las vidas de los artistas daneses Lili Elbe y Gerda Wegener. El matrimonio y el trabajo de Lili y Gerda evolucionan a medida que transcurre la pionera experiencia de Lili como transgénero.
tt0977643,Chooriyan,Movie,Sukhwant Dhadda,Sukhwant Dhadda,No especificado,No especificado,5.6,"El huérfano Simran se casa con Aman, un oficial del ejército. Tras la muerte de Aman, Simran promete cuidar a su familia. Las esposas de los suegros crean divisiones. Simran lucha por reunir a la familia y cumplir su promesa."
tt0191476,Soapte de amor,Movie,Mircea Daneliuc,No especificado,No especificado,No especificado,No especificado,No especificado
tt0420097,Prozac tango,Short,Michaël Souhaité,François Hitter,No especificado,19min,6.1,"Sweet and bitter comedy about urban life, Prozac Tango stages seven characters who will kill each other, cross paths, meet, miss each other and perhaps love each other."
tt0478970,Ant-Man,Movie,Peyton Reed,Edgar Wright,Joe Cornish,1h 57min,7.2,"El ladrón de guante blanco Scott Lang, equipado con un súper traje con la asombrosa capacidad de reducir el tamaño pero aumentar la fuerza de quien lo lleva, debe aceptar a su héroe interior y ayudar a su mentor, el Dr. Hank Pym, a planear y llevar a cabo un atraco que salvará al mundo."
tt0884732,The Wedding Ringer,Movie,Jeremy Garelick,Jeremy Garelick,Jay Lavender,1h 41min,6.6,"A dos semanas para su boda, un tipo tímido se ve envuelto en una estafa por parte de una empresa que brinda servicio de padrinos de boda."
tt10005306,Publicité SAAQ - campagne publicitaire sur les drogues au volant (Pigeon),Short,François Lallier,No especificado,No especificado,No especificado,No especificado,No especificado
